,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
46,BEST STEAK HOUSE,5455 NICOLLET AVE,44.90363,-93.27773,"[[124383, 124382, 235175, 286554]]","[['2017/01/24', '2017/12/07', '2018/12/11', '2019/12/12']]","[['Follow-Up', 'Routine', 'Routine', 'Routine']]","[[100, 100, 98, 98]]"
47,BETTY DANGERS COUNTRY CLUB,2501 MARSHALL ST NE,45.01343,-93.27132,"[[31177, 194191, 247597]]","[['2017/03/29', '2018/04/05', '2019/03/20']]","[['Routine', 'Routine', 'Routine']]","[[98, 96, 94]]"
48,BILLS GARDEN,4209 28TH AVE S,44.92652,-93.23175,"[[37835, 223124, 229325, 223123, 271354, 271353, 326154, 335054]]","[['2017/08/23', '2017/10/12', '2017/12/07', '2018/09/06', '2018/11/01', '2019/08/26', '2019/10/24', '2019/12/18']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[80, 98, 100, 84, 100, 74, 88, 96]]"
49,BIRCHWOOD CAFE,3311 25TH ST E,44.95718,-93.2234,"[[37906, 37945, 197466, 203679, 251144, 251143, 249505, 273308, 310451]]","[['2017/05/01', '2017/05/05', '2018/05/14', '2018/05/14', '2018/07/10', '2019/05/13', '2019/05/13', '2019/06/23', '2019/07/03']]","[['Routine', 'Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Follow-Up']]","[[98, 100, 88, 100, 98, 82, 100, 94, 96]]"
50,BLACK COFFEE & WAFFLE BAR,1500 COMO AVE SE,44.98769,-93.23008,"[[38051, 233045, 233044, 310593]]","[['2017/11/15', '2017/12/14', '2019/05/16', '2019/07/15']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 100, 88, 100]]"
51,BLACK FOREST INN,1 26TH ST E,44.95534,-93.2776,"[[38098, 227016, 227033, 214812, 260328, 322510]]","[['2017/08/08', '2017/09/27', '2017/11/01', '2018/07/30', '2019/07/29', '2019/09/17']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[94, 96, 100, 98, 86, 96]]"
52,BLACK SHEEP PIZZA,2550 NICOLLET AVE,44.95583,-93.2784,"[[38128, 190028, 190027, 241428, 241427, 292990, 292989]]","[['2017/01/25', '2017/04/19', '2018/01/18', '2018/02/20', '2019/01/23', '2019/03/13', '2020/01/23']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[82, 96, 94, 96, 88, 98, 92]]"
53,BLARNEY PUB & GRILL,412 14TH AVE SE,44.98052,-93.23527,"[[309926, 317548, 317994, 324726]]","[['2019/04/26', '2019/07/17', '2019/08/19', '2019/09/26']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up']]","[[66, 84, 90, 92]]"
54,BLAZE PIZZA,1000 WASHINGTON AVE SE,44.97321,-93.22313,"[[38216, 205270, 254886, 254885]]","[['2017/07/17', '2018/07/18', '2018/08/20', '2019/07/18']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[92, 92, 100, 92]]"
55,BLUE DOOR U,1514 COMO AVE SE,44.9876,-93.22964,"[[38247, 204368, 204367, 254812, 254811]]","[['2017/07/17', '2017/08/07', '2018/07/18', '2018/09/18', '2019/07/30']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[90, 100, 86, 100, 94]]"
