,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
166,DUMPLING,4004 MINNEHAHA AVE,44.93021,-93.22158,"[[251140, 253690, 253689, 316496]]","[['2018/06/29', '2018/08/22', '2019/07/22', '2019/09/19']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[86, 100, 90, 100]]"
167,DUNN BROTHERS COFFEE,2550 NICOLLET AVE,44.95583,-93.2784,[[280908]],[['2019/01/29']],[['Routine']],[[94]]
168,DUNN BROTHERS COFFEE,337 WASHINGTON AVE N,44.98431,-93.27401,"[[315741, 330223]]","[['2019/09/19', '2019/10/09']]","[['Routine', 'Follow-Up']]","[[72, 96]]"
169,DUSTYS BAR,1319 MARSHALL ST NE,45.0009,-93.26983,"[[203738, 224889, 274265]]","[['2017/09/08', '2018/09/07', '2019/09/06']]","[['Routine', 'Routine', 'Routine']]","[[96, 100, 96]]"
170,EAST LAKE LIQUOR & DELI,3916 LAKE ST E,44.94863,-93.21564,"[[19898, 230557]]","[['2017/10/18', '2019/10/18']]","[['Routine', 'Routine']]","[[100, 100]]"
171,EASTSIDE EAT AND DRINK,305 WASHINGTON AVE S,44.97941,-93.26365,"[[19984, 181531, 252122, 252121, 313978]]","[['2017/01/17', '2018/06/06', '2018/08/30', '2019/06/17', '2019/08/13']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[94, 92, 100, 68, 98]]"
172,EAT STREET SOCIAL,18 26TH ST W,44.95583,-93.2784,"[[26051, 191911, 243570, 243569, 300572]]","[['2017/02/28', '2018/02/20', '2018/04/18', '2019/02/19', '2019/03/28']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[96, 90, 100, 84, 96]]"
173,EGG & I,2828 LYNDALE AVE S,44.95085,-93.28851,"[[26293, 181041, 242118, 295106]]","[['2017/01/03', '2018/02/01', '2019/02/04', '2020/02/04']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[100, 100, 94, 90]]"
174,EL BURRITO CUBANO,4729 LYNDALE AVE N,45.04112,-93.28709,"[[26368, 190983, 245391]]","[['2017/01/25', '2018/03/01', '2019/03/05']]","[['Routine', 'Routine', 'Routine']]","[[56, 96, 96]]"
175,EL CAFE RESTAURANTE Y BAR,4820 CHICAGO AVE,44.9154,-93.26303,"[[247307, 279671, 279670, 338801]]","[['2018/11/01', '2019/01/10', '2019/12/06', '2020/01/16']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[76, 98, 88, 94]]"
176,EL COMPA TAQUERIA,311 LAKE ST E,44.94819,-93.28341,"[[316328, 330009]]","[['2019/09/17', '2019/10/09']]","[['Routine', 'Follow-Up']]","[[84, 92]]"
177,EL JEFE COZINA & BAR,5309 LYNDALE AVE S,44.90616,-93.28761,"[[247308, 252930, 252929, 313817]]","[['2018/06/12', '2018/08/07', '2019/06/12', '2019/07/23']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 98, 84, 98]]"
178,EL JEFE REDEFINING MEXICAN CUISINE,5309 LYNDALE AVE S,44.90616,-93.28761,"[[203713, 226775, 274046]]","[['2017/09/19', '2018/09/28', '2019/08/01']]","[['Routine', 'Routine', 'Routine']]","[[96, 100, 100]]"
179,EL NORTENO MARKET & DELI,4000 LAKE ST E,44.94859,-93.21503,"[[26497, 232482, 232481, 279494, 279493]]","[['2017/10/31', '2017/12/27', '2018/11/13', '2018/11/14', '2019/11/13']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 98, 90, 94, 92]]"
180,EL NUEVO MARIACHI,2728 NICOLLET AVE,44.95275,-93.27842,"[[26523, 210169, 224765, 225701, 210168, 259650, 259649, 320002, 330221]]","[['2017/07/26', '2017/09/06', '2017/09/14', '2017/10/24', '2018/07/30', '2018/09/26', '2019/07/30', '2019/09/19', '2019/11/21']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[74, 82, 100, 100, 94, 94, 78, 88, 94]]"
181,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,44.94811,-93.23272,"[[26553, 190608, 181437, 243021, 247576, 243020]]","[['2017/01/11', '2017/03/31', '2018/02/12', '2018/04/06', '2018/06/08', '2019/03/05']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[86, 98, 90, 90, 94, 96]]"
182,EL TACO RIENDO,2412 CENTRAL AVE NE,45.01267,-93.24788,"[[26675, 26679, 223600, 253700, 224883, 253699, 274270]]","[['2017/08/17', '2017/08/31', '2018/06/29', '2018/07/19', '2018/08/31', '2019/07/10', '2019/08/29']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine']]","[[100, 84, 88, 96, 100, 96, 100]]"
183,ELEMENT PIZZA,96 BROADWAY ST NE,44.99856,-93.26786,"[[32006, 191548]]","[['2017/03/01', '2018/09/13']]","[['Routine', 'Routine']]","[[96, 100]]"
184,EMILYS LEBANESE DELI,641 UNIVERSITY AVE NE,44.99567,-93.26118,"[[32290, 189618, 245374, 294810]]","[['2017/01/30', '2018/02/16', '2019/02/01', '2020/02/03']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[100, 96, 100, 98]]"
185,ERBERTS & GERBERT'S,316 15TH AVE SE,44.97939,-93.23441,"[[32456, 235005]]","[['2017/12/07', '2019/06/05']]","[['Routine', 'Routine']]","[[96, 94]]"
186,ERTE AND THE PEACOCK LOUNGE,323 13TH AVE NE,45.00115,-93.26337,"[[278779, 287852]]","[['2019/01/03', '2020/01/03']]","[['Routine', 'Routine']]","[[96, 92]]"
187,ESKER GROVE,725 VINELAND PL,44.96847,-93.2892,"[[46322, 205251, 205250, 254757]]","[['2017/07/11', '2017/09/20', '2018/07/10', '2019/07/19']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[92, 100, 100, 100]]"
188,FABULOUS CATERING,2900 13TH AVE S,44.94991,-93.25667,"[[38980, 201694, 247483]]","[['2017/07/25', '2018/04/05', '2019/04/02']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 100]]"
189,FAIRGROUNDS COFFEE AND TEA,116 3RD AVE N,44.98611,-93.27078,"[[251623, 266626, 266625]]","[['2018/08/17', '2018/09/18', '2019/08/16']]","[['Routine', 'Follow-Up', 'Routine']]","[[68, 96, 100]]"
190,FALAFEL KING,3238 LAKE ST W,44.94913,-93.32083,"[[39126, 39102, 39127, 230324, 230323, 257394, 252009, 257393, 261266, 313703]]","[['2017/01/12', '2017/06/03', '2017/10/16', '2017/12/20', '2018/06/05', '2018/07/30', '2018/08/03', '2019/06/07', '2019/06/23', '2019/08/06']]","[['Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine', 'Follow-Up']]","[[100, 100, 84, 92, 88, 100, 96, 78, 92, 100]]"
191,FAST EDDIES PIZZA,4747 NICOLLET AVE,44.9163,-93.27759,"[[252734, 253651, 253650, 313664, 315190]]","[['2018/06/19', '2018/08/02', '2019/06/12', '2019/07/10', '2019/08/06']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[90, 100, 78, 90, 94]]"
192,FAT LORENZO'S,5600 CEDAR AVE S,44.90079,-93.24792,"[[181491, 237181, 237180, 287822, 287809]]","[['2018/01/05', '2018/03/02', '2019/01/10', '2019/02/27', '2020/01/13']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 98, 98, 98, 86]]"
193,FIG + FARRO,3001 HENNEPIN AVE,44.94743,-93.29732,"[[237242, 247407, 251312, 247406, 331374]]","[['2018/03/29', '2018/05/22', '2018/06/26', '2019/10/01', '2019/11/25']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[84, 84, 94, 84, 96]]"
194,FIKA,2600 PARK AVE,44.95521,-93.26581,"[[39395, 220611, 260336]]","[['2017/08/22', '2018/07/31', '2019/07/30']]","[['Routine', 'Routine', 'Routine']]","[[100, 94, 96]]"
195,FIRE BOX DELI,4707 LYNDALE AVE N,45.04058,-93.28734,"[[39443, 229351, 229350, 276375]]","[['2017/10/04', '2017/11/17', '2018/10/16', '2019/10/16']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[80, 98, 100, 100]]"
196,FIREROAST CAFE,3800 37TH AVE S,44.93406,-93.21951,"[[46337, 193009, 246983, 246982]]","[['2017/03/07', '2018/03/26', '2018/05/16', '2019/03/19']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 96, 100, 98]]"
197,FIRST DRAFT TAPROOM & KITCHEN,324 6TH AVE N,44.98576,-93.27824,"[[249667, 271565, 329764]]","[['2018/09/11', '2019/09/12', '2019/10/10']]","[['Routine', 'Routine', 'Follow-Up']]","[[100, 82, 94]]"
198,FISH BOWL POKE,520 4TH ST N #102,44.98493,-93.27707,"[[329898, 333868, 337060]]","[['2019/10/10', '2019/11/14', '2020/01/02']]","[['Routine', 'Follow-Up', 'Follow-Up']]","[[84, 82, 88]]"
199,FIVE GUYS BURGERS & FRIES,1413 4TH ST SE,44.98062,-93.23478,"[[46455, 188248, 236957, 286871]]","[['2017/01/05', '2018/01/02', '2019/01/03', '2019/12/26']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[100, 100, 100, 94]]"
200,FIVE GUYS BURGERS & FRIES,2300 HENNEPIN AVE,44.95986,-93.29399,"[[46462, 216080, 266505]]","[['2017/08/02', '2018/08/02', '2019/08/01']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 94]]"
201,FLAMIN THAI,233 CEDAR AVE S,44.97281,-93.24644,"[[276704, 281195]]","[['2018/12/07', '2019/12/05']]","[['Routine', 'Routine']]","[[100, 96]]"
202,FLETCHERS ICE CREAM LLC,1509 MARSHALL ST NE,45.00327,-93.27091,"[[248828, 259385]]","[['2018/06/28', '2019/12/27']]","[['Routine', 'Routine']]","[[96, 100]]"
203,FOGO DE CHAO,645 HENNEPIN AVE,44.978,-93.273,"[[124977, 198002, 124976, 236410, 236409, 280437, 280436]]","[['2017/05/03', '2017/06/09', '2017/12/08', '2018/01/12', '2018/11/28', '2018/12/21', '2019/11/27']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[92, 96, 84, 96, 82, 96, 92]]"
204,FRANK FROM PHILLY,1227 4TH ST SE,44.98149,-93.23733,"[[46870, 213925, 213924, 261256, 261255, 319144, 329444, 332820]]","[['2017/07/26', '2017/09/20', '2018/07/25', '2018/09/05', '2019/07/23', '2019/09/03', '2019/10/09', '2019/11/18']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up']]","[[94, 94, 94, 96, 76, 78, 86, 100]]"
205,FRENCH MEADOW BAKERY & BLUESTEM BAR,2610 LYNDALE AVE S,44.9551,-93.28847,"[[53831, 232053, 232052, 279285, 279284]]","[['2017/10/31', '2018/01/13', '2018/10/26', '2019/02/03', '2019/11/04']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[94, 100, 82, 100, 94]]"
206,"FRESH MARKET, THE",555 NICOLLET MALL #103,44.97817,-93.2706,"[[53865, 203496]]","[['2017/07/06', '2019/06/26']]","[['Routine', 'Routine']]","[[100, 98]]"
207,FRESH WOK,4610 NICOLLET AVE,44.91883,-93.27836,"[[232209, 246978, 252100, 246977]]","[['2018/03/26', '2018/05/21', '2018/08/02', '2019/04/24']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[82, 84, 96, 92]]"
208,FRESHII,651 NICOLLET MALL #239,44.97719,-93.27137,"[[53912, 192442, 192441, 245857, 247894, 245856]]","[['2017/03/06', '2017/04/24', '2018/03/12', '2018/04/16', '2018/06/04', '2019/03/11']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[94, 100, 86, 92, 100, 100]]"
209,FUJI YA,600 LAKE ST W,44.94866,-93.28728,"[[53991, 231996, 231640, 279196, 278078]]","[['2017/10/28', '2017/12/29', '2018/10/30', '2018/12/06', '2019/10/30']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[90, 100, 96, 98, 92]]"
210,GALACTIC PIZZA,2917 LYNDALE AVE S,44.94966,-93.28767,"[[125778, 232340, 279859]]","[['2017/11/06', '2018/11/19', '2019/11/19']]","[['Routine', 'Routine', 'Routine']]","[[98, 98, 96]]"
211,GANDHI MAHAL,3009 27TH AVE S,44.94792,-93.23272,"[[54184, 201814, 214030, 201813, 253223, 253222, 315205]]","[['2017/06/13', '2017/08/08', '2017/10/04', '2018/06/19', '2018/08/13', '2019/07/10', '2019/09/05']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 98, 98, 62, 94, 84, 96]]"
212,GARDENS OF SALONICA,19 5TH ST NE,44.98971,-93.25346,"[[54232, 203617, 203616, 254712, 254711]]","[['2017/06/27', '2017/08/11', '2018/07/11', '2018/09/07', '2019/07/11']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[86, 96, 94, 100, 92]]"
213,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,45.01145,-93.26352,"[[180792, 54314, 230927, 228261, 278075, 278074]]","[['2017/02/23', '2017/10/06', '2017/10/31', '2018/10/09', '2018/12/04', '2019/10/09']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[100, 88, 92, 94, 100, 94]]"
214,GASTROTRUCK,2400 UNIVERSITY AVE NE,45.01232,-93.26356,"[[60851, 125785, 199740, 202617, 251564, 309838, 248872]]","[['2017/05/21', '2017/06/25', '2018/04/27', '2018/05/19', '2019/04/28', '2019/05/09', '2019/05/15']]","[['Routine', 'Routine', 'Routine', 'Routine', 'Routine', 'Routine', 'Routine']]","[[96, 100, 98, 98, 96, 100, 100]]"
215,GATHERINGS CAFE,1530 FRANKLIN AVE E,44.96326,-93.25248,"[[60879, 190074, 242968, 242967, 296773]]","[['2017/02/08', '2018/02/13', '2018/03/30', '2019/02/01', '2019/03/12']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 92, 100, 84, 96]]"
216,GEEK LOVE CAFE,3032 MINNEHAHA AVE,44.94723,-93.23397,"[[276916, 277474, 277473]]","[['2018/10/25', '2018/12/20', '2019/10/24']]","[['Routine', 'Follow-Up', 'Routine']]","[[92, 100, 94]]"
217,GEORGE AND THE DRAGON,813 50TH ST W,44.91214,-93.29045,"[[18072, 208221, 208220, 262114, 262113]]","[['2017/07/20', '2017/09/25', '2018/07/27', '2018/09/14', '2019/07/26']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[92, 96, 96, 100, 96]]"
218,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,44.98778,-93.2577,"[[61076, 190587, 189810, 242460, 292950, 292949]]","[['2017/01/10', '2017/04/05', '2018/01/25', '2019/01/17', '2019/03/12', '2020/01/14']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine']]","[[88, 100, 96, 90, 96, 94]]"
219,GLUEKS RESTAURANT,16 6TH ST N,44.97947,-93.27398,"[[123687, 232143, 232140, 279022, 336422, 338361]]","[['2017/10/26', '2017/12/08', '2018/11/06', '2019/11/04', '2019/12/04', '2019/12/31']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up']]","[[92, 92, 92, 80, 84, 94]]"
220,GOOD TO GO,200 6TH ST S,44.9769,-93.26762,"[[12442, 190588, 189825, 242869, 298385]]","[['2017/02/02', '2017/03/27', '2018/02/14', '2019/02/13', '2019/04/10']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[80, 100, 96, 94, 100]]"
221,GORDITAS EL GORDO,207 LAKE ST E,44.94806,-93.27364,"[[12488, 193291, 245599]]","[['2017/03/22', '2018/03/07', '2019/03/07']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 94]]"
222,GORKHA PALACE,23 4TH ST NE,44.98929,-93.25498,"[[12512, 192742, 246693, 307482, 310598]]","[['2017/03/14', '2018/03/16', '2019/03/27', '2019/05/16', '2019/06/27']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up']]","[[94, 100, 94, 90, 98]]"
223,GRANDE CAFE,3804 GRAND AVE S,44.93383,-93.28474,"[[232189, 244837, 290876, 304782, 290875, 340271]]","[['2017/12/19', '2018/12/26', '2019/03/05', '2019/05/01', '2019/12/18', '2020/01/29']]","[['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 90, 94, 100, 86, 98]]"
224,GRANDE SUNRISE,5554 34TH AVE S,44.90188,-93.22333,"[[223590, 232956, 232954, 280123, 337775]]","[['2017/11/08', '2017/12/14', '2018/11/20', '2019/11/20', '2019/12/30']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[90, 100, 98, 86, 96]]"
225,GRASS ROOTS GOURMET,920 LAKE ST E #130,44.94931,-93.26076,"[[12680, 12684, 191077, 191078, 243373, 303032]]","[['2017/02/21', '2017/02/21', '2018/02/20', '2019/02/21', '2019/02/21', '2019/04/01']]","[['Routine', 'Routine', 'Routine', 'Routine', 'Routine', 'Follow-Up']]","[[100, 100, 96, 88, 100, 98]]"
226,GRAZE PROVISIONS AND LIBATIONS/GRAZE,520 4TH ST N,44.98493,-93.27707,"[[328543, 330405]]","[['2019/09/24', '2019/10/31']]","[['Routine', 'Follow-Up']]","[[88, 94]]"
227,GREAT DRAGON,1916 CHICAGO AVE,44.96315,-93.26296,"[[12765, 199782, 199781, 251412, 251411, 310546]]","[['2017/05/18', '2017/06/14', '2018/05/23', '2018/06/19', '2019/05/16', '2019/06/28']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[92, 96, 76, 96, 82, 100]]"
228,GREEK GRILL & CAFE,625 MARQUETTE AVE #236,44.97642,-93.27017,"[[12844, 222910, 222909, 269138, 325819]]","[['2017/08/29', '2017/10/23', '2018/08/29', '2019/08/22', '2019/10/21']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[90, 100, 100, 82, 92]]"
229,GREEN + THE GRAIN,900 2ND AVE S,44.9737,-93.27186,[[281282]],[['2019/02/25']],[['Routine']],[[92]]
230,GREEN AND THE GRAIN,800 LASALLE AVE #213,44.97641,-93.27513,"[[180221, 236635, 236634, 286273]]","[['2017/12/19', '2018/02/12', '2018/12/26', '2019/12/23']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[96, 98, 96, 100]]"
231,GREEN AND THE GRAIN,705 MARQUETTE AVE #257,44.97593,-93.27064,"[[20058, 237191]]","[['2018/01/08', '2019/07/02']]","[['Routine', 'Routine']]","[[98, 96]]"
232,GREEN AND THE GRAIN,200 6TH ST S #296,44.9769,-93.26762,"[[245610, 247896, 252093, 247895]]","[['2018/04/13', '2018/06/05', '2018/07/24', '2019/04/16']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[84, 92, 96, 98]]"
233,GREENFIELD NATURAL KITCHEN,120 6TH ST S,44.97736,-93.26875,"[[20155, 225887, 225886, 271962, 329211]]","[['2017/09/13', '2017/11/02', '2018/09/17', '2019/09/11', '2019/10/21']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[90, 100, 98, 88, 100]]"
234,GROUND ZERO/THE FRONT,15 4TH ST NE,44.98907,-93.25504,[[20224]],[['2018/09/19']],[['Routine']],[[96]]
235,GUAVAS CUBAN CAFE,5607 CHICAGO AVE,44.90136,-93.26232,"[[279127, 287080, 287079, 340619]]","[['2019/01/10', '2019/02/08', '2020/01/10', '2020/01/23']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[92, 98, 82, 96]]"
236,H148 - THE BRIDGE FOR YOUTH,1111 22ND ST W,44.96063,-93.29405,"[[44004, 194253, 247287]]","[['2017/03/21', '2018/03/23', '2019/03/22']]","[['Routine', 'Routine', 'Routine']]","[[100, 96, 100]]"
237,H148 - THE SALVATION ARMY ARCC,900 4TH ST N,44.98815,-93.28156,"[[51016, 204387, 254465]]","[['2017/07/13', '2018/07/12', '2019/07/09']]","[['Routine', 'Routine', 'Routine']]","[[98, 96, 92]]"
238,HABANERO TACOS,3223 LAKE ST E,44.94809,-93.22467,[[303524]],[['2019/06/04']],[['Routine']],[[92]]
239,HAI HAI,2121 UNIVERSITY AVE NE,45.00973,-93.26238,"[[234213, 242469]]","[['2018/02/08', '2019/02/08']]","[['Routine', 'Routine']]","[[88, 94]]"
240,HAIKU JAPANESE BISTRO,620 WASHINGTON AVE SE,44.97349,-93.2294,"[[247731, 281251]]","[['2018/12/11', '2019/12/12']]","[['Routine', 'Routine']]","[[92, 92]]"
241,HAMBURGUESAS EL GORDO,4157 CEDAR AVE S,44.92713,-93.24694,"[[236684, 245978, 247502, 251674, 254492, 274468, 245977, 307862, 312875]]","[['2018/02/22', '2018/04/04', '2018/05/15', '2018/07/12', '2018/09/25', '2018/11/19', '2019/03/11', '2019/05/30', '2019/07/11']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[76, 84, 94, 94, 94, 98, 66, 90, 94]]"
242,HAMDI RESTAURANT,818 LAKE ST E,44.94863,-93.26191,"[[20604, 181433, 192275, 196676, 181432, 232070, 232069, 278164, 278163, 335375]]","[['2017/01/04', '2017/03/07', '2017/04/19', '2017/05/23', '2017/11/02', '2017/12/18', '2018/10/30', '2018/12/04', '2019/10/29', '2019/11/26']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 94, 88, 96, 76, 96, 92, 100, 86, 100]]"
243,HAMMER & SICKLE,1300 LAGOON AVE #150,44.94947,-93.29611,"[[20619, 190582, 189700, 243622, 243620]]","[['2017/01/26', '2017/04/20', '2018/02/23', '2018/03/20', '2019/02/27']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[66, 100, 98, 100, 100]]"
244,HAMPTON INN & SUITES,2812 UNIVERSITY AVE SE,44.97104,-93.21676,"[[204193, 208352]]","[['2017/07/27', '2019/01/03']]","[['Routine', 'Routine']]","[[98, 96]]"
245,HARD TIMES CAFE,1821 RIVERSIDE AVE,44.96945,-93.24616,"[[20684, 211472, 258694]]","[['2017/08/01', '2018/07/30', '2019/07/30']]","[['Routine', 'Routine', 'Routine']]","[[96, 96, 96]]"
246,HARK'S NICOLLET,2401 NICOLLET AVE,44.95905,-93.27745,"[[20703, 234521]]","[['2017/11/28', '2019/11/19']]","[['Routine', 'Routine']]","[[100, 96]]"
247,HARRIET BRASSERIE,2724 43RD ST W,44.9247,-93.31382,"[[26718, 225318, 230980, 237391, 225317, 272869, 272868]]","[['2017/09/07', '2017/10/25', '2018/01/08', '2018/02/26', '2018/09/18', '2018/11/06', '2019/09/18']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[70, 92, 94, 98, 86, 96, 96]]"
248,HARRY SINGHS ORIG CARIBBEAN RESTAURANT,2653 NICOLLET AVE,44.95399,-93.27749,"[[180282, 242575]]","[['2018/02/06', '2019/02/06']]","[['Routine', 'Routine']]","[[98, 100]]"
249,HAZEL'S NORTHEAST,2859 JOHNSON ST NE,45.02025,-93.23674,"[[26840, 194264, 194263, 247432, 249899, 247431, 304252]]","[['2017/03/30', '2017/05/15', '2018/03/29', '2018/05/07', '2018/06/01', '2019/03/15', '2019/04/23']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 100, 84, 84, 90, 98, 98]]"
250,HELLS KITCHEN,80 9TH ST S,44.97482,-93.27267,"[[26951, 226528, 226527, 272129, 272128, 328779]]","[['2017/09/13', '2017/10/24', '2018/09/12', '2018/10/09', '2019/09/05', '2019/10/03']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[88, 96, 90, 96, 72, 96]]"
251,HEN HOUSE EATERY,730 2ND AVE S,44.97528,-93.27049,"[[26992, 193464, 247125, 247124]]","[['2017/03/24', '2018/03/30', '2018/05/14', '2019/04/22']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[96, 86, 92, 96]]"
252,HENNEPIN THEATRE TRUST,900 HENNEPIN AVE,44.97654,-93.27743,"[[237153, 265806, 247160]]","[['2018/03/23', '2018/11/01', '2019/04/12']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 100]]"
253,HI-LO DINER,4020 LAKE ST E,44.94864,-93.21437,"[[27246, 205669, 226636, 205668, 264439, 264438]]","[['2017/07/18', '2017/09/19', '2017/11/27', '2018/08/13', '2018/10/15', '2019/08/14']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[82, 94, 98, 68, 92, 92]]"
254,HIBACHI BUFFET,111 LAKE ST E,44.94791,-93.27628,"[[190605, 193211, 180597, 225305, 225304, 245941, 245940, 286553, 286552, 339651]]","[['2017/03/21', '2017/04/25', '2017/09/06', '2017/11/07', '2018/03/13', '2018/05/10', '2018/12/18', '2019/03/05', '2019/12/18', '2020/01/27']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 100, 86, 96, 92, 96, 88, 100, 84, 96]]"
255,HIBACHI DARUMA,820 MARQUETTE AVE,44.97482,-93.27267,"[[302853, 309824]]","[['2019/05/02', '2019/05/29']]","[['Routine', 'Follow-Up']]","[[90, 96]]"
256,HIMALAYAN RESTAURANT,2910 LAKE ST E,44.94863,-93.22954,"[[181457, 237233, 237232, 294166]]","[['2018/01/03', '2018/03/01', '2019/01/29', '2020/02/05']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[94, 100, 98, 92]]"
257,HOBAN KOREAN BBQ,2939 HENNEPIN AVE,44.94878,-93.29789,"[[33129, 231997, 231520, 278695, 277404, 334864]]","[['2017/10/14', '2017/12/20', '2018/10/25', '2018/12/08', '2019/10/25', '2019/11/23']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[96, 100, 96, 98, 88, 100]]"
258,HOLA AREPA,3501 NICOLLET AVE,44.93934,-93.27752,"[[33172, 33158, 196890, 249397, 228717, 249396, 311517, 277236]]","[['2017/04/25', '2017/10/11', '2018/05/03', '2018/06/13', '2018/10/23', '2019/05/16', '2019/07/02', '2019/09/22']]","[['Routine', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 100, 76, 96, 100, 82, 98, 100]]"
259,HOLIDAY STATIONSTORE #25,5444 NICOLLET AVE,44.90433,-93.27859,"[[237291, 237292, 286287, 286292]]","[['2018/12/14', '2018/12/14', '2019/12/17', '2019/12/17']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[100, 100, 100, 100]]"
