,inspect_name,address,zipcode,neighborhood,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated
269,SAVORY BAKE HOUSE,3008 36TH AVE S,55406,Longfellow,44.94809,-93.22067,"[15226, 181151, 242574, 242573, 302606, 302605]","['2017/01/04', '2018/02/07', '2018/04/05', '2019/02/27', '2019/04/26', '2020/02/26']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[96, 90, 98, 90, 98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
270,SEAFOOD 2 GO,2930 CHICAGO AVE,55407,Phillips West,44.94911,-93.26306,[221035],['2017/10/16'],['Routine'],[98],"Sun, Mar 15, 2020 at 04:27 PM"
271,SELECT COMFORT,1001 3RD AVE S,55404,Downtown West,44.97146,-93.27028,"[242905, 248588, 248587]","['2018/04/19', '2018/05/09', '2019/03/13']","['Routine', 'Follow-Up', 'Routine']","[92, 92, 96]","Sun, Mar 15, 2020 at 04:27 PM"
272,SEVEN CORNERS COFFEE,1851 WASHINGTON AVE S,55454,Cedar Riverside,44.97281,-93.24644,"[335847, 340185]","['2020/01/02', '2020/01/15']","['Routine', 'Follow-Up']","[88, 98]","Sun, Mar 15, 2020 at 04:27 PM"
273,SHEGA GROCERY,2111 FRANKLIN AVE E,55404,Seward,44.96242,-93.24173,"[22825, 22826, 226884, 226883, 273442, 277279, 273441, 331108]","['2017/02/28', '2017/09/26', '2017/11/06', '2018/09/26', '2018/10/26', '2018/12/06', '2019/09/30', '2019/11/14']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']","[100, 92, 98, 90, 94, 100, 82, 96]","Sun, Mar 15, 2020 at 04:27 PM"
274,SHUANG HUR BBQ,2710 NICOLLET AVE,55408,Whittier,44.95345,-93.27838,"[23006, 218587, 265053]","['2017/08/15', '2018/08/15', '2019/08/13']","['Routine', 'Routine', 'Routine']","[100, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
275,SIFT GLUTEN FREE,4557 BLOOMINGTON AVE,55407,Northrop,44.91985,-93.25201,[287864],['2019/04/25'],['Routine'],[92],"Sun, Mar 15, 2020 at 04:27 PM"
276,SISTERS GRILL,2910 PILLSBURY AVE #135B,55408,Whittier,44.94969,-93.2821,"[295137, 280895]","['2018/03/12', '2019/02/01']","['Follow-Up', 'Routine']","[98, 94]","Sun, Mar 15, 2020 at 04:27 PM"
277,SKYWAY BISTRO,800 28TH ST E,55407,Midtown Phillips,44.95458,-93.26133,"[51383, 191532, 243721, 302467]","['2017/02/28', '2018/02/26', '2019/03/01', '2020/02/27']","['Routine', 'Routine', 'Routine', 'Routine']","[94, 94, 92, 82]","Sun, Mar 15, 2020 at 04:27 PM"
278,SNACK BAR,800 WASHINGTON AVE N #101,55401,North Loop,44.98953,-93.27869,[330776],['2019/11/22'],['Routine'],[80],"Sun, Mar 15, 2020 at 04:27 PM"
279,SNOW FOX SUSHI,1104 LAGOON AVE,55408,Lowry Hill East,44.94957,-93.29379,[302855],['2019/05/08'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:27 PM"
280,SOBER FISH,2627 FRANKLIN AVE E,55406,Seward,44.96255,-93.23353,"[29551, 218531, 267547, 328309]","['2017/08/17', '2018/08/23', '2019/08/23', '2019/10/18']","['Routine', 'Routine', 'Routine', 'Follow-Up']","[92, 94, 86, 94]","Sun, Mar 15, 2020 at 04:27 PM"
281,SORRENTO CUCINA DUE,200 5TH ST S #290,55402,Downtown West,44.97766,-93.26697,"[29818, 192202, 245280, 302588]","['2017/03/08', '2018/03/02', '2019/02/28', '2020/02/21']","['Routine', 'Routine', 'Routine', 'Routine']","[100, 100, 98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
282,SOUTH SIDE FOOD AND DELI,3300 CHICAGO AVE,55407,Central,44.94301,-93.263,"[233024, 236432, 236431, 314475]","['2017/12/19', '2018/01/18', '2019/06/21', '2019/08/16']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[90, 94, 80, 96]","Sun, Mar 15, 2020 at 04:27 PM"
283,SPEARMINT RHINO GENTLEMEN'S CLUB,725 HENNEPIN AVE,55403,Downtown West,44.97743,-93.27489,"[36121, 181536, 257402, 257401]","['2017/01/12', '2018/07/26', '2018/09/27', '2020/02/04']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 94, 98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
284,SPEEDWAY #4232,3453 NICOLLET AVE,55408,Lyndale,44.93985,-93.27752,"[57726, 232594, 234925, 232593]","['2017/10/31', '2017/12/07', '2018/02/07', '2019/05/01']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine']","[88, 92, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
285,SPHERE,100 5TH ST S,55402,Nicollet Island - East Bank,44.99002,-93.25476,"[233399, 242349, 242348, 291928, 291927]","['2018/02/06', '2018/03/01', '2019/01/24', '2019/02/19', '2020/01/21']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[94, 100, 92, 100, 92]","Sun, Mar 15, 2020 at 04:27 PM"
286,SPYHOUSE COFFEE ROASTERS,907 WASHINGTON AVE N,55401,Prospect Park - East River Road,44.97381,-93.22527,"[124865, 236998, 285905]","['2017/12/21', '2018/12/18', '2019/01/17']","['Routine', 'Routine', 'Follow-Up']","[96, 90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
287,STADIUM BAR & GRILL,207 WASHINGTON AVE N,55401,Downtown West,44.9837,-93.27205,"[36538, 231409, 278451, 335381]","['2017/10/24', '2018/10/30', '2019/10/29', '2019/12/03']","['Routine', 'Routine', 'Routine', 'Follow-Up']","[96, 92, 78, 96]","Sun, Mar 15, 2020 at 04:27 PM"
288,STARS FOOD MARKET,818 LOWRY AVE N,55411,McKinley,45.01334,-93.29018,"[188593, 233426]","['2017/11/16', '2018/10/17']","['Routine', 'Routine']","[96, 92]","Sun, Mar 15, 2020 at 04:27 PM"
289,SUBWAY,521 WEST BROADWAY,55411,Near - North,44.99855,-93.28682,"[42907, 233902, 310548]","['2017/11/21', '2019/05/15', '2019/06/25']","['Routine', 'Routine', 'Follow-Up']","[100, 86, 90]","Sun, Mar 15, 2020 at 04:27 PM"
290,SUBWAY,2450 RIVERSIDE AVE,55454,Cedar Riverside,44.96824,-93.23858,[301827],['2019/04/29'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:27 PM"
291,SUNNY'S MARKET & DELI,2207 UNIVERSITY AVE NE,55418,Holland,45.01031,-93.26276,"[49784, 228246]","['2017/09/21', '2018/10/09']","['Routine', 'Routine']","[100, 88]","Sun, Mar 15, 2020 at 04:27 PM"
292,SUPER DELI & COFFEE INC,2833 13TH AVE S #118,55407,Midtown Phillips,44.95078,-93.25592,"[50092, 196586, 196585, 243609, 303586, 303585]","['2017/04/19', '2017/05/23', '2018/02/23', '2019/02/13', '2019/03/18', '2020/02/06']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine']","[90, 100, 90, 88, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
293,SUPER USA,3801 MINNEHAHA AVE,55406,Howe,44.93398,-93.22333,"[57356, 190288, 266288]","['2017/02/08', '2018/08/20', '2020/02/18']","['Routine', 'Routine', 'Routine']","[100, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
294,SUPERAMERICA #4021,4320 LAKE ST E,55406,Cooper,44.94864,-93.21055,"[57379, 194400]","['2017/03/31', '2018/09/27']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
295,SUPERAMERICA #4034,2200 LYNDALE AVE S,55405,Lowry Hill East,44.96059,-93.28845,"[57438, 237404]","['2017/12/12', '2019/06/13']","['Routine', 'Routine']","[96, 98]","Sun, Mar 15, 2020 at 04:27 PM"
296,SUPERAMERICA #4060,801 LAKE ST W,55408,South Uptown,44.94806,-93.28974,"[57491, 232105]","['2017/11/02', '2019/05/01']","['Routine', 'Routine']","[94, 98]","Sun, Mar 15, 2020 at 04:27 PM"
297,SUPERAMERICA #4161,4740 CEDAR AVE S,55407,Northrop,44.91656,-93.24763,"[57556, 193434, 271684]","['2017/03/23', '2018/09/07', '2020/03/02']","['Routine', 'Routine', 'Routine']","[96, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
298,SUPERAMERICA #4166,6000 PORTLAND AVE,55417,Diamond Lake,44.89406,-93.26819,"[57609, 196866]","['2017/04/24', '2018/10/26']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
299,SUPERAMERICA #4173,3357 UNIVERSITY AVE SE,55414,Prospect Park - East River Road,44.96872,-93.2087,"[57665, 197242]","['2017/04/28', '2018/11/01']","['Routine', 'Routine']","[100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
300,SUPERAMERICA #4378,2445 BLOOMINGTON AVE,55404,East Phillips,44.95758,-93.25203,"[57761, 247180]","['2018/04/02', '2019/10/07']","['Routine', 'Routine']","[98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
301,SUSHI AVENUE,2850 26TH AVE S,55406,Longfellow,44.95151,-93.23566,"[57969, 191587, 246975]","['2017/02/28', '2018/03/27', '2018/05/08']","['Routine', 'Routine', 'Follow-Up']","[100, 90, 96]","Sun, Mar 15, 2020 at 04:27 PM"
302,TACOS LUPITA,5748 34TH AVE S,55417,Wenonah,44.89848,-93.22333,"[247384, 252936]","['2018/06/12', '2019/06/14']","['Routine', 'Routine']","[100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
303,TANGLETOWNS WISE ACRE EATERY,5401 NICOLLET AVE,55419,Tangletown,44.90495,-93.27777,"[64346, 201195, 201194, 252944, 260296, 252943]","['2017/06/08', '2017/08/02', '2018/06/14', '2018/07/31', '2018/08/30', '2019/06/14']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']","[86, 94, 84, 88, 98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
304,TAQUERIA EL CHILO #3,311 LAKE ST E,55408,Lyndale,44.94819,-93.28341,"[64425, 200670, 200669, 252132, 252131, 313493]","['2017/06/01', '2017/06/29', '2018/06/05', '2018/07/05', '2019/06/10', '2019/07/31']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[88, 100, 88, 98, 88, 92]","Sun, Mar 15, 2020 at 04:27 PM"
305,TARGET CAFE,33 6TH ST S,55402,Downtown West,44.978,-93.273,"[180360, 190465, 190464, 245346, 307412]","['2017/02/14', '2017/03/24', '2018/03/01', '2019/03/26', '2019/05/17']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[84, 98, 100, 92, 96]","Sun, Mar 15, 2020 at 04:27 PM"
306,TARGET STORE  #T1095,1650 NEW BRIGHTON BLVD,55413,Northeast Park,45.00465,-93.22952,"[17290, 203383]","['2017/07/05', '2019/01/03']","['Routine', 'Routine']","[96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
307,TENMOKU TEA,4155 THOMAS AVE N,55412,Victory,45.03108,-93.31396,[260345],['2018/10/17'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:27 PM"
308,THE BACHELOR FARMER RESTAURANT/MARVEL BA,200 1ST ST N,55401,Downtown West,44.98319,-93.2642,"[23701, 224248, 271475, 271474, 329604]","['2017/08/31', '2018/09/07', '2018/10/01', '2019/09/16', '2019/10/08']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[82, 96, 92, 64, 96]","Sun, Mar 15, 2020 at 04:27 PM"
309,THE BLUE DOOR - LONGFELLOW,3448 42ND AVE S,55406,Howe,44.9398,-93.21313,"[23733, 253608, 253607, 316494]","['2018/06/27', '2018/08/23', '2019/07/22', '2019/09/19']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[88, 100, 90, 94]","Sun, Mar 15, 2020 at 04:27 PM"
310,THE CHILDRENS THEATRE COMPANY,2400 3RD AVE S,55404,Whittier,44.95821,-93.27404,"[266414, 276132]","['2018/10/17', '2019/10/18']","['Routine', 'Routine']","[100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
311,THE FIRM A WORKOUT STUDIO,1010 2ND AVE N,55405,Harrison,44.97952,-93.29331,"[23903, 203614]","['2017/07/03', '2019/01/03']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
312,THE FRESH MARKET,425 7TH ST S,55415,Downtown West,44.97368,-93.26622,"[23921, 203488, 259653]","['2017/07/06', '2018/07/19', '2019/07/18']","['Routine', 'Routine', 'Routine']","[100, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
313,THE KOLLEGE KLUB DINKYTOWN,1301 4TH ST SE,55414,Marcy Holmes,44.98119,-93.23673,"[325915, 337214]","['2019/11/12', '2019/12/12']","['Routine', 'Follow-Up']","[82, 90]","Sun, Mar 15, 2020 at 04:27 PM"
314,THE REGIME,2015 LOWRY AVE N,55411,Jordan,45.013,-93.30525,"[251850, 272645]","['2018/09/21', '2018/12/11']","['Routine', 'Follow-Up']","[86, 96]","Sun, Mar 15, 2020 at 04:27 PM"
315,THEATRE IN THE ROUND,245 CEDAR AVE S,55454,Cedar Riverside,44.97246,-93.24685,"[208983, 231647]","['2017/10/24', '2019/10/24']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
316,TOWNEPLACE SUITES,525 2ND ST N,55401,North Loop,44.98713,-93.27452,"[37064, 194304, 251435]","['2017/03/30', '2018/05/22', '2019/05/22']","['Routine', 'Routine', 'Routine']","[100, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
317,TRIO PLANT-BASED,610 LAKE ST W,55408,Phillips West,44.94863,-93.26683,"[273306, 281260, 339051, 340606]","['2018/12/06', '2019/12/13', '2020/01/10', '2020/01/17']","['Routine', 'Routine', 'Follow-Up', 'Follow-Up']","[100, 72, 80, 96]","Sun, Mar 15, 2020 at 04:27 PM"
318,UKRAINIAN AMERICAN COMMUNITY CENTER,301 MAIN ST NE,55413,St. Anthony West,44.99068,-93.26121,"[43458, 202024, 252902]","['2017/06/22', '2018/06/18', '2019/06/28']","['Routine', 'Routine', 'Routine']","[100, 92, 100]","Sun, Mar 15, 2020 at 04:27 PM"
