,inspect_name,address,zipcode,neighborhood,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated
406,PATIENT SERVICES CAFETERIA,2525 CHICAGO AVE,55404,Midtown Phillips,44.95662,-93.26173,"[25828, 188229, 241156, 290952]","['2017/01/17', '2018/01/18', '2019/01/21', '2020/01/24']","['Routine', 'Routine', 'Routine', 'Routine']","[96, 96, 96, 92]","Sun, Mar 15, 2020 at 04:27 PM"
407,RADISSON RED MINNEAPOLIS DOWNTOWN,609 3RD ST S,55415,Downtown East,44.97676,-93.26034,"[41817, 181387, 241201, 243103, 241200, 290791]","['2017/01/12', '2018/01/16', '2018/02/07', '2018/04/10', '2019/01/14', '2020/01/16']","['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine']","[94, 88, 88, 100, 100, 92]","Sun, Mar 15, 2020 at 04:27 PM"
408,RIVER OF LIFE LUTHERAN CHURCH,1110 22ND AVE N,55411,Jordan,45.00171,-93.2949,"[124561, 234381, 280289]","['2017/11/29', '2018/11/27', '2019/11/26']","['Routine', 'Routine', 'Routine']","[98, 100, 94]","Sun, Mar 15, 2020 at 04:27 PM"
409,ROGER'S MARKET,2007 GLENWOOD AVE,55405,Harrison,44.98047,-93.30615,"[56703, 217962, 265431, 265430]","['2017/08/03', '2018/08/02', '2018/09/26', '2019/08/02']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[96, 96, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
410,ROYAL COFFEE & RESTAURANT,912 24TH ST E #B131/132,55404,Ventura Village,44.95968,-93.26037,"[231113, 232336, 232335, 277010, 280940, 277009, 334593, 337985]","['2017/11/06', '2017/12/05', '2018/10/23', '2018/12/04', '2019/01/10', '2019/10/23', '2019/11/26', '2019/12/23']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']","[96, 100, 86, 94, 100, 80, 88, 96]","Sun, Mar 15, 2020 at 04:27 PM"
411,SAINT PAUL'S EPISCOPAL CHURCH,1917 LOGAN AVE S,55403,Lowry Hill,44.96359,-93.30289,"[63505, 200115, 252640]","['2017/05/10', '2018/05/16', '2019/05/16']","['Routine', 'Routine', 'Routine']","[96, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
412,SEBASTIAN JOE'S ICE CREAM,1007 FRANKLIN AVE W,55405,Ventura Village,44.96244,-93.25933,"[124067, 124066, 251940, 251939]","['2017/01/09', '2018/06/01', '2018/08/30', '2019/12/06']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[96, 90, 98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
413,SHERATON/THE GREAT ROOM,2901 CHICAGO AVE,55407,Midtown Phillips,44.94996,-93.26203,"[243481, 244844, 244843, 307295]","['2018/02/27', '2018/03/28', '2019/03/04', '2020/02/28']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[96, 100, 100, 78]","Sun, Mar 15, 2020 at 04:27 PM"
414,SIGNE BURCKHARDT MANOR,2533 1ST AVE S,55404,Whittier,44.95596,-93.27621,"[23098, 188226, 237492, 237491, 286973]","['2017/01/18', '2018/01/09', '2018/01/22', '2019/01/07', '2020/01/08']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine']","[100, 92, 100, 98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
415,SODEXO @ ALLINA COMMONS,2925 CHICAGO AVE,55407,Midtown Phillips,44.94931,-93.26076,"[309165, 314536]","['2019/06/25', '2019/08/16']","['Routine', 'Follow-Up']","[88, 94]","Sun, Mar 15, 2020 at 04:27 PM"
416,SPEEDWAY,1847 JOHNSON ST NE,55418,Windom Park,45.00757,-93.2368,[315384],['2019/09/13'],['Routine'],[94],"Sun, Mar 15, 2020 at 04:27 PM"
417,STATE THEATRE,805 HENNEPIN AVE,55403,Downtown West,44.97662,-93.27574,"[42550, 233384]","['2017/11/15', '2019/11/22']","['Routine', 'Routine']","[96, 98]","Sun, Mar 15, 2020 at 04:27 PM"
418,SUNSHINE,3300 4TH AVE S,55408,Central,44.94303,-93.27061,"[49840, 230816]","['2017/10/23', '2019/04/16']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
419,SUPER MERCADO MORELIA LLC,1417 LAKE ST E #1ST FL,55407,Powderhorn Park,44.94813,-93.25406,"[180147, 180146, 236217, 286085]","['2017/02/10', '2017/12/18', '2018/12/12', '2019/12/10']","['Follow-Up', 'Routine', 'Routine', 'Routine']","[100, 96, 94, 100]","Sun, Mar 15, 2020 at 04:27 PM"
420,SUPERAMERICA #4024,2501 HENNEPIN AVE,55405,Lowry Hill East,44.957,-93.29529,"[57409, 195199]","['2017/04/12', '2018/10/12']","['Routine', 'Routine']","[96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
421,SUPERAMERICA #4135,4001 LYNDALE AVE S,55409,King Field,44.9302,-93.28784,"[57536, 235105, 235104]","['2017/12/06', '2018/01/17', '2019/05/31']","['Routine', 'Follow-Up', 'Routine']","[88, 96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
422,SUPERAMERICA #4172,3806 LAKE ST W,55416,Cedar - Isles - Dean,44.9487,-93.32781,"[57642, 243392, 321255]","['2018/02/08', '2019/08/05', '2019/10/02']","['Routine', 'Routine', 'Follow-Up']","[98, 88, 96]","Sun, Mar 15, 2020 at 04:27 PM"
423,SUPERAMERICA #4382,3744 CHICAGO AVE,55407,Central,44.93439,-93.2629,"[57796, 224342, 224341]","['2017/08/30', '2017/10/19', '2019/03/07']","['Routine', 'Follow-Up', 'Routine']","[88, 98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
424,TARGET STORE  #T0052,2500 LAKE ST E,55406,Longfellow,44.94935,-93.23625,"[17269, 241220, 241219]","['2018/01/19', '2018/03/01', '2019/07/23']","['Routine', 'Follow-Up', 'Routine']","[94, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
425,THE GRAND HOTEL MINNEAPOLIS,615 2ND AVE S,55402,Downtown West,44.97595,-93.26882,"[303332, 338510]","['2019/12/09', '2020/01/07']","['Routine', 'Follow-Up']","[72, 94]","Sun, Mar 15, 2020 at 04:27 PM"
426,UNITED NOODLES,2015 24TH ST E,55404,Seward,44.95817,-93.24255,"[43642, 230099, 230098, 275298, 275297, 333863]","['2017/10/17', '2017/12/12', '2018/10/11', '2018/11/13', '2019/10/11', '2019/12/09']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[86, 100, 76, 100, 74, 100]","Sun, Mar 15, 2020 at 04:27 PM"
427,VO'S VIETNAMESE RESTAURANT,3450 LYNDALE AVE S,55408,McKinley,45.01816,-93.2876,"[58260, 190571, 189747, 243510, 243509, 301803, 301802]","['2017/01/31', '2017/03/23', '2018/02/14', '2018/04/04', '2019/02/26', '2019/04/19', '2020/03/04']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[96, 100, 88, 98, 90, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
428,WACAN RESTAURANT LLC,2910 PILLSBURY AVE #207,,Whittier,44.94982,-93.2822,"[227123, 232716, 247520, 232718, 286268, 286267, 354993]","['2017/11/07', '2018/02/20', '2018/04/27', '2018/12/20', '2019/02/06', '2020/02/13', '2020/02/20']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[90, 92, 96, 86, 98, 70, 100]","Sun, Mar 15, 2020 at 04:27 PM"
429,WHOLE FOODS MARKET,222 HENNEPIN AVE #A,55401,North Loop,44.98296,-93.26904,"[65541, 232440, 232439, 279269]","['2017/10/30', '2018/05/22', '2018/11/08', '2019/11/06']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[86, 100, 92, 94]","Sun, Mar 15, 2020 at 04:27 PM"
430,WIILO FOOD DISTRIBUTOR,2910 PILLSBURY AVE #228,55408,Whittier,44.94969,-93.2821,"[232757, 249607, 279103, 279102, 337263]","['2018/01/12', '2018/11/07', '2018/12/20', '2019/11/14', '2019/12/17']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[100, 90, 96, 86, 100]","Sun, Mar 15, 2020 at 04:27 PM"
431,A SLICE OF NEW YORK,2407 NICOLLET AVE,55404,Whittier,44.95892,-93.27745,"[51319, 201078, 201077, 251943, 251942, 313461]","['2017/06/06', '2017/07/13', '2018/06/04', '2018/07/24', '2019/06/06', '2019/07/24']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[86, 100, 90, 96, 90, 98]","Sun, Mar 15, 2020 at 04:27 PM"
432,AUGUSTANA COMMUNITY PARTNERS,350 VAN WHITE MEMORIAL BLVD,55405,Sumner - Glenwood,44.98128,-93.29408,"[180806, 231709, 279764]","['2017/10/26', '2018/11/19', '2019/11/19']","['Routine', 'Routine', 'Routine']","[98, 100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
433,CROWNE PLAZA NORTHSTAR,618 2ND AVE S,55402,Downtown West,44.97622,-93.26974,"[46061, 190563, 189900, 242983, 242982, 297621, 297620, 354929]","['2017/02/01', '2017/03/17', '2018/02/14', '2018/03/16', '2019/02/12', '2019/03/26', '2020/02/11', '2020/02/25']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[90, 96, 74, 90, 90, 100, 82, 92]","Sun, Mar 15, 2020 at 04:27 PM"
434,CUB FOODS #6692,1540 NEW BRIGHTON BLVD,55413,Northeast Park,45.00487,-93.23176,"[46189, 189418, 237216, 237215, 287233]","['2017/01/13', '2018/01/03', '2018/02/13', '2019/01/03', '2020/01/16']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine']","[100, 88, 96, 100, 94]","Sun, Mar 15, 2020 at 04:27 PM"
435,DOWNTOWN MARKET,150 2ND AVE S,55401,Downtown West,44.98222,-93.26498,"[12189, 232524, 232523, 274941, 274940]","['2017/11/08', '2017/12/08', '2018/10/05', '2018/11/30', '2019/10/04']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[94, 100, 98, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
436,EUREST DINING @ AMERIPRISE,901 3RD AVE S,55402,Downtown West,44.97244,-93.26947,"[32638, 194745, 247943, 247942]","['2017/04/07', '2018/04/11', '2018/05/09', '2019/04/30']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 96, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
437,GOOD TO GO,200 6TH ST S,55402,Downtown West,44.9769,-93.26762,"[12442, 190588, 189825, 242869, 298385]","['2017/02/02', '2017/03/27', '2018/02/14', '2019/02/13', '2019/04/10']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[80, 100, 96, 94, 100]","Sun, Mar 15, 2020 at 04:27 PM"
438,HISTORIC MACHINE SHOP RESTAURANT,300 2ND ST SE,55414,Downtown West,44.98098,-93.26237,"[33096, 211485, 263862]","['2017/07/25', '2018/08/07', '2019/08/01']","['Routine', 'Routine', 'Routine']","[98, 98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
439,HOLIDAY STATIONSTORE #209,2448 HENNEPIN AVE,55405,East Isles,44.9577,-93.29563,"[236361, 245141]","['2018/02/26', '2019/03/18']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
440,HOLIDAY STATIONSTORE #69,2322 WASHINGTON AVE N,55411,Hawthorne,45.0034,-93.28134,"[236359, 243502]","['2018/02/21', '2019/02/25']","['Routine', 'Routine']","[100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
441,HYATT REGENCY - CLUB LOUNGE,1300 NICOLLET MALL,55403,Loring Park,44.97086,-93.27826,"[39866, 202137, 253518]","['2017/06/20', '2018/06/22', '2019/06/20']","['Routine', 'Routine', 'Routine']","[98, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
442,KAAH COFFEE,2429 FRANKLIN AVE E,55406,Seward,44.96249,-93.2364,"[214785, 229305, 229304]","['2017/10/12', '2017/12/11', '2019/04/16']","['Routine', 'Follow-Up', 'Routine']","[92, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
443,KITSU,1540 NEW BRIGHTON BLVD,55413,Northeast Park,45.00487,-93.23176,"[13455, 189129, 237276, 287230]","['2017/01/13', '2018/01/03', '2019/01/03', '2020/01/16']","['Routine', 'Routine', 'Routine', 'Routine']","[98, 100, 100, 94]","Sun, Mar 15, 2020 at 04:27 PM"
444,LAKE WINE & SPIRITS,404 LAKE ST W,55408,Whittier,44.94865,-93.2847,"[27706, 196769, 196768]","['2017/04/25', '2017/05/30', '2018/10/12']","['Routine', 'Follow-Up', 'Routine']","[86, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
445,LUNDS - LAKE STREET,1450 LAKE ST W,55408,East Isles,44.94865,-93.29984,"[47822, 193036, 247491, 247490]","['2017/03/17', '2018/04/02', '2018/05/01', '2019/04/11']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 98, 100, 92]","Sun, Mar 15, 2020 at 04:27 PM"
446,MARQUETTE HOTEL - JACQUES,710 MARQUETTE AVE,55402,Downtown West,44.9763,-93.27148,"[275072, 275074, 275073]","['2017/10/05', '2017/11/06', '2018/10/03']","['Routine', 'Follow-Up', 'Routine']","[86, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
447,MIDTOWN GLOBAL MARKET,920 LAKE ST E,55407,Midtown Phillips,44.94931,-93.26076,"[227528, 227605, 227604, 272872, 272871]","['2017/10/04', '2017/11/16', '2018/09/25', '2018/11/02', '2019/09/19']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[100, 100, 100, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
448,MINNEAPOLIS EVENT CENTER,212 2ND ST SE,55414,Marcy Holmes,44.98464,-93.25398,"[274987, 287264]","['2019/01/14', '2020/01/28']","['Routine', 'Routine']","[100, 94]","Sun, Mar 15, 2020 at 04:27 PM"
449,NEWS ROOM,990 NICOLLET MALL,55402,Downtown West,44.97479,-93.27499,"[124151, 30098, 224720, 224719, 270300, 327281, 330497]","['2017/05/01', '2017/09/06', '2017/09/25', '2018/09/05', '2019/08/26', '2019/09/26', '2019/10/16']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up']","[100, 90, 98, 100, 68, 90, 96]","Sun, Mar 15, 2020 at 04:27 PM"
450,SPEEDWAY #4388,101 GRANT ST W,55403,Loring Park,44.9696,-93.27961,"[57826, 226749, 226748, 287236]","['2017/09/25', '2017/11/06', '2019/01/04', '2020/01/02']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[92, 96, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
451,SUPER USA,3807 FREMONT AVE N,55412,Webber - Camden,45.02424,-93.296,"[287819, 308086, 309923]","['2019/04/01', '2019/05/07', '2019/06/03']","['Routine', 'Follow-Up', 'Follow-Up']","[86, 92, 98]","Sun, Mar 15, 2020 at 04:27 PM"
452,SUPERAMERICA #4165,5101 34TH AVE S,55417,Minnehaha,44.91056,-93.22248,"[57586, 224825, 224824]","['2017/09/07', '2017/10/10', '2019/03/12']","['Routine', 'Follow-Up', 'Routine']","[96, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
453,TARGET T3239,1300 LAKE ST W,55408,Lowry Hill East,44.94866,-93.29611,"[233149, 242750]","['2018/02/07', '2019/08/09']","['Routine', 'Routine']","[98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
454,UNIVERSITY OF ST THOMAS,1000 LASALLE AVE #UNIV,55403,Downtown West,44.97624,-93.276,"[43748, 232152, 278878, 333856]","['2017/11/01', '2018/11/01', '2019/10/16', '2019/11/18']","['Routine', 'Routine', 'Routine', 'Follow-Up']","[100, 96, 78, 96]","Sun, Mar 15, 2020 at 04:27 PM"
455,EVERGREEN GROCERY & DELI,2109 NICOLLET AVE,55404,Whittier,44.96158,-93.27747,"[235290, 248257]","['2018/04/13', '2019/10/11']","['Routine', 'Routine']","[94, 92]","Sun, Mar 15, 2020 at 04:27 PM"
456,HOLIDAY STATIONSTORE #407,3550 CEDAR AVE S,55407,Powderhorn Park,44.93801,-93.24776,"[236892, 246614, 246613]","['2018/03/20', '2018/04/19', '2019/03/27']","['Routine', 'Follow-Up', 'Routine']","[98, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
457,SUPERAMERICA #4056,300 BROADWAY ST NE,55413,St. Anthony West,44.99844,-93.26284,"[57467, 236429, 236428]","['2017/12/19', '2018/01/18', '2019/06/19']","['Routine', 'Follow-Up', 'Routine']","[92, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
